Customer ID,Recency,Frequency,Monetary,Cluster,Persona,Recommended_Action
12346,326,12,77556.46,0,Regular,Send targeted promotions to increase engagement
12347,2,8,5633.32,0,Regular,Send targeted promotions to increase engagement
12348,75,5,2019.4,0,Regular,Send targeted promotions to increase engagement
12349,19,4,4428.69,0,Regular,Send targeted promotions to increase engagement
12350,310,1,334.4,1,at-risk,Re-engagement campaigns and special offers
12351,375,1,300.93,1,at-risk,Re-engagement campaigns and special offers
12352,36,10,2849.84,0,Regular,Send targeted promotions to increase engagement
12353,204,2,406.76,0,Regular,Send targeted promotions to increase engagement
12354,232,1,1079.4,0,Regular,Send targeted promotions to increase engagement
12355,214,2,947.61,0,Regular,Send targeted promotions to increase engagement
12356,23,6,6373.68,0,Regular,Send targeted promotions to increase engagement
12357,33,3,18287.66,0,Regular,Send targeted promotions to increase engagement
12358,2,5,3887.07,0,Regular,Send targeted promotions to increase engagement
12359,58,10,8935.94,0,Regular,Send targeted promotions to increase engagement
12360,52,8,4252.89,0,Regular,Send targeted promotions to increase engagement
12361,287,4,511.25,1,at-risk,Re-engagement campaigns and special offers
12362,3,11,5356.23,0,Regular,Send targeted promotions to increase engagement
12363,110,2,552.0,0,Regular,Send targeted promotions to increase engagement
12364,8,4,1313.1,0,Regular,Send targeted promotions to increase engagement
12365,291,2,641.38,1,at-risk,Re-engagement campaigns and special offers
12366,634,1,500.24,1,at-risk,Re-engagement campaigns and special offers
12367,4,1,168.9,0,Regular,Send targeted promotions to increase engagement
12368,628,1,917.6999999999999,1,at-risk,Re-engagement campaigns and special offers
12369,413,3,1791.15,1,at-risk,Re-engagement campaigns and special offers
12370,51,7,4320.31,0,Regular,Send targeted promotions to increase engagement
12371,45,5,4067.38,0,Regular,Send targeted promotions to increase engagement
12372,72,3,1298.04,0,Regular,Send targeted promotions to increase engagement
12373,311,3,1127.65,1,at-risk,Re-engagement campaigns and special offers
12374,25,4,2989.2200000000003,0,Regular,Send targeted promotions to increase engagement
12375,11,2,457.5,0,Regular,Send targeted promotions to increase engagement
12376,390,2,503.15,1,at-risk,Re-engagement campaigns and special offers
12377,315,4,3426.32,1,at-risk,Re-engagement campaigns and special offers
12378,130,2,5416.32,0,Regular,Send targeted promotions to increase engagement
12379,82,4,1620.22,0,Regular,Send targeted promotions to increase engagement
12380,22,11,9676.300000000001,0,Regular,Send targeted promotions to increase engagement
12381,5,5,1845.31,0,Regular,Send targeted promotions to increase engagement
12383,185,5,1850.56,0,Regular,Send targeted promotions to increase engagement
12384,29,2,585.27,0,Regular,Send targeted promotions to increase engagement
12385,379,1,1938.4,1,at-risk,Re-engagement campaigns and special offers
12386,338,2,660.8,1,at-risk,Re-engagement campaigns and special offers
12387,415,1,143.94,1,at-risk,Re-engagement campaigns and special offers
12388,16,8,3901.11,0,Regular,Send targeted promotions to increase engagement
12389,403,3,1433.33,1,at-risk,Re-engagement campaigns and special offers
12390,80,1,549.84,0,Regular,Send targeted promotions to increase engagement
12391,22,6,2773.42,0,Regular,Send targeted promotions to increase engagement
12392,591,1,234.75000000000003,1,at-risk,Re-engagement campaigns and special offers
12393,72,6,2399.4500000000003,0,Regular,Send targeted promotions to increase engagement
12394,64,2,1272.48,0,Regular,Send targeted promotions to increase engagement
12395,19,15,5067.27,0,Regular,Send targeted promotions to increase engagement
12396,674,1,931.43,1,at-risk,Re-engagement campaigns and special offers
12397,36,2,2409.9,0,Regular,Send targeted promotions to increase engagement
12398,46,1,1635.6599999999999,0,Regular,Send targeted promotions to increase engagement
12399,119,7,1962.3,0,Regular,Send targeted promotions to increase engagement
12400,414,1,205.25,1,at-risk,Re-engagement campaigns and special offers
12401,303,1,84.3,1,at-risk,Re-engagement campaigns and special offers
12402,323,6,1256.9,1,at-risk,Re-engagement campaigns and special offers
12403,50,2,1019.36,0,Regular,Send targeted promotions to increase engagement
12404,682,1,63.24,1,at-risk,Re-engagement campaigns and special offers
12405,149,1,1710.39,0,Regular,Send targeted promotions to increase engagement
12406,22,5,6390.36,0,Regular,Send targeted promotions to increase engagement
12407,50,5,1708.1200000000001,0,Regular,Send targeted promotions to increase engagement
12408,33,8,4340.7699999999995,0,Regular,Send targeted promotions to increase engagement
12409,79,7,23419.29,0,Regular,Send targeted promotions to increase engagement
12410,309,3,1013.71,1,at-risk,Re-engagement campaigns and special offers
12411,410,1,346.9,1,at-risk,Re-engagement campaigns and special offers
12412,75,6,2596.93,0,Regular,Send targeted promotions to increase engagement
12413,67,4,999.45,0,Regular,Send targeted promotions to increase engagement
12414,217,6,952.41,0,Regular,Send targeted promotions to increase engagement
